Product;Plan Activity
12020;19500
12021;19500
13327;19500
15097;13500
15099;13500
15101;13500
15227;13000
15228;13000
15229;13000
15230;11000
15231;11000
15950;18000
15951;18000
15952;18000
16214;18000
16215;18000
17151;13000
17152;13000
18331;9000
18332;12000
18333;9000
18334;15000
18919;13500
18920;13500
19046;18000
19047;18000
19374;13500
19375;13500
19376;9000
19421;10000
20669;14000
20745;19500
20949;14000
20950;15000
20951;12000
21120;15500
21723;11000
21845;14000
21846;18000
21847;18000
21848;18000
21849;13500
21850;13500
21851;11000
21865;19500
21968;13000
22000;10500
22003;10500
22004;13000
22005;13000
22178;13500
22179;13500
22180;13500
22199;18000
22200;18000
22202;18000
22249;7000
22250;17500
22251;19500
22253;15000
22258;11000
22274;14000
22275;12500
22276;12500
22361;13500
22362;13500
22363;17000
22364;17000
22365;17600
22366;17600
22720;13500
22721;13500
22808;15000
22868;9000
22869;13400
23071;11500
23149;19000
23151;17500
23152;18000
23154;9000
23155;15000
23160;15500
23162;15500
23163;15500
23164;14000
23166;14000
23167;8000
23168;15000
23199;12200
23202;12800
23203;11500
23204;12800
23205;12800
23357;9000
23358;15000
23444;18000
23446;18000
23528;12500
23542;12500
23545;1
23546;1
23547;1
23614;13500
